Start state index,Action index,Finish state index,Probability for Triple,Reward for Triple,Prob x Reward
0,0,17,1.0,0.5,0.5
0,2,0,1.0,0.35317449999999995,0.35317449999999995
1,0,2,1.0,1.0,1.0
2,2,14,1.0,1.0,1.0
3,0,3,0.5,0.6666666666666666,0.3333333333333333
3,0,18,0.25,1.3333333333333308,0.3333333333333327
3,0,24,0.25,1.333333333333336,0.333333333333334
3,2,3,1.0,0.33333333333333354,0.33333333333333354
4,2,5,1.0,1.0,1.0
5,0,5,1.0,0.3333333333333344,0.3333333333333344
6,0,16,1.0,0.9999999999999993,0.9999999999999993
7,0,4,1.0,0.5,0.5
7,2,7,1.0,0.33333333333333465,0.33333333333333465
8,0,15,1.0,0.49999999999999845,0.49999999999999845
8,2,8,1.0,0.3333333333333327,0.3333333333333327
9,2,6,0.333333,1.0,0.333333
9,2,13,0.333333,1.0,0.333333
9,2,22,0.333333,1.0,0.333333
10,2,12,1.0,0.7857136666666574,0.7857136666666574
11,0,23,1.0,1.0,1.0
12,2,20,1.0,1.0,1.0
13,0,8,1.0,0.5000000000000011,0.5000000000000011
13,2,13,1.0,0.33333333333333354,0.33333333333333354
14,0,14,0.5,0.7063489999999997,0.35317449999999984
14,0,21,0.5,0.7063489999999997,0.35317449999999984
15,0,11,0.5,0.6666666666666672,0.3333333333333336
15,0,15,0.5,0.6666666666666664,0.3333333333333332
15,2,15,1.0,0.3333333333333328,0.3333333333333328
16,0,3,1.0,1.6666666666666665,1.6666666666666665
16,2,16,1.0,0.3333333333333334,0.3333333333333334
17,2,17,1.0,0.3531744999999999,0.3531744999999999
18,2,18,1.0,0.3333333333333333,0.3333333333333333
19,0,1,0.142857,1.0,0.142857
19,0,9,0.428571,1.0,0.428571
19,0,10,0.142857,1.0,0.142857
19,0,19,0.285714,1.1666678333345037,0.3333333333333344
20,0,7,0.5,0.6666666666666744,0.3333333333333372
20,0,20,0.5,0.6666666666666663,0.33333333333333315
21,0,0,0.5,0.6666666666666666,0.3333333333333333
21,0,21,0.5,0.7063490000000008,0.3531745000000004
21,2,21,1.0,0.35317449999999995,0.35317449999999995
22,0,16,1.0,0.9999999999999999,0.9999999999999999
23,2,23,1.0,0.33333333333333276,0.33333333333333276
24,2,24,1.0,0.33333333333333326,0.33333333333333326
Decision probabilities --
State index,Action index,P(A|S)
0,0,0.5
0,2,0.35317449999999995
1,0,1.0
2,2,1.0
3,0,0.6666666666666665
3,2,0.3333333333333334
4,2,1.0
5,0,0.33333333333333437
6,0,1.0
7,0,0.5
7,2,0.33333333333333465
8,0,0.49999999999999845
8,2,0.3333333333333327
9,2,1.0
10,2,0.7857136666666574
11,0,1.0
12,2,1.0
13,0,0.5000000000000011
13,2,0.33333333333333354
14,0,0.7063489999999997
15,0,0.6666666666666672
15,2,0.3333333333333328
16,0,0.6666666666666666
16,2,0.33333333333333337
17,2,0.35317449999999995
18,2,0.33333333333333326
19,0,1.0
20,0,0.6666666666666744
21,0,0.6666666666666666
21,2,0.33333333333333337
22,0,1.0
23,2,0.3333333333333328
24,2,0.33333333333333326
Lower bound trajectory value for a =,5.0952373333333325
Upper bound trajectory value for b =,5.0952373333333325
Lower bound trajectory value for b =,0.0
Upper bound trajectory value for c =,0.0
Lower bound trajectory value for c =,0.0
Upper bound trajectory value for d =,0.0
Report for trajectory list =,Target trajectories
Trajectory #,Trajectory probability,Reward sum,Expected linear reward with discount,Trajectory probability x Reward sum,Trajectory
1,0.010204051020438774,7.833334500001169,1.8118642470400013,0.07993174489817519,"[19, 0, 19, 0, 9, 2, 13, 2, 13, 0, 8, 2, 8, 0, 15, 2, 15, 0, 15, 0, 11, 0, 23, 2, 23]"
2,0.017857107142874997,7.666666666666665,2.511007853333334,0.13690448809537495,"[19, 0, 9, 2, 22, 0, 16, 2, 16, 0, 3, 2, 3, 0, 3, 0, 18, 2, 18]"
3,0.0089285625,7.345237166666666,2.350842018058616,0.06558240911990625,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 2, 21, 0, 21, 0, 0, 2, 0, 0, 17, 2, 17]"
4,0.010204061224500002,7.452381500001171,2.112986015999997,0.07604455709434312,"[19, 0, 19, 0, 10, 2, 12, 2, 20, 0, 20, 0, 7, 2, 7, 0, 4, 2, 5, 0, 5]"
5,0.017857107142874997,7.666666666666669,2.5110078533333335,0.136904488095375,"[19, 0, 9, 2, 6, 0, 16, 2, 16, 0, 3, 2, 3, 0, 3, 0, 24, 2, 24]"
Report for trajectory list =,Target neighboring trajectories
Trajectory #,Trajectory probability,Reward sum,Expected linear reward with discount,Trajectory probability x Reward sum,Trajectory
1,0.008928553571437499,7.999999999999997,2.511007853333334,0.07142842857149996,"[19, 0, 9, 2, 22, 0, 16, 2, 16, 0, 3, 0, 3, 0, 3, 0, 18, 2, 18]"
2,0.0025510127551096936,7.833334500001167,1.7402814587733348,0.019982936224543793,"[19, 0, 19, 0, 9, 2, 13, 2, 13, 0, 8, 2, 8, 0, 15, 0, 15, 0, 15, 0, 15, 0, 15, 2, 15]"
3,0.017857107142874997,7.333333333333334,2.5110078533333335,0.13095211904774998,"[19, 0, 9, 2, 6, 0, 16, 2, 16, 0, 3, 0, 3, 0, 3, 2, 3, 0, 3]"
4,0.005102025510219387,8.1666678333345,1.8535069137066675,0.041666547619160714,"[19, 0, 19, 0, 9, 2, 13, 0, 8, 0, 15, 0, 15, 2, 15, 2, 15, 0, 15, 0, 11, 0, 23, 2, 23]"
5,0.07142842857149999,6.666666666666669,2.511007853333334,0.47618952381000007,"[19, 0, 9, 2, 22, 0, 16, 2, 16, 0, 3, 2, 3, 2, 3, 2, 3, 0, 3]"
6,0.0089285625,7.345237166666666,2.3516742169057627,0.06558240911990625,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 2, 21, 2, 21, 0, 21, 0, 0, 0, 17, 2, 17]"
7,0.035714214285749994,7.333333333333334,2.5110078533333335,0.26190423809549995,"[19, 0, 9, 2, 6, 0, 16, 2, 16, 0, 3, 0, 24, 2, 24, 2, 24, 2, 24]"
8,0.017857125,6.992062666666665,2.3516742169057627,0.12485813704649998,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 2, 21, 2, 21, 2, 21, 0, 0, 0, 17, 2, 17]"
9,0.017857107142874997,7.666666666666663,2.4017811866666667,0.13690448809537492,"[19, 0, 9, 2, 6, 0, 16, 2, 16, 2, 16, 0, 3, 0, 3, 0, 18, 2, 18]"
10,0.002232140625,7.904760666666669,2.332633390961016,0.017644537414968756,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 2, 21, 0, 21, 0, 21, 0, 21, 0, 0, 2, 0]"
11,0.017857107142874997,7.333333333333335,2.511007853333334,0.13095211904775,"[19, 0, 9, 2, 22, 0, 16, 2, 16, 0, 3, 0, 3, 0, 3, 2, 3, 0, 3]"
12,0.00446428125,7.5515861666666675,2.33316599822319,0.03371240453160938,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 2, 21, 0, 21, 0, 21, 2, 21, 2, 21, 0, 0]"
13,0.00446428125,7.591268500000002,2.3352964272718855,0.033889557628265635,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 2, 21, 0, 21, 2, 21, 0, 21, 0, 21, 2, 21]"
14,0.017857107142874997,7.66666666666667,2.647541186666667,0.13690448809537503,"[19, 0, 9, 2, 6, 0, 16, 0, 3, 2, 3, 2, 3, 0, 3, 0, 24, 2, 24]"
15,0.005102030612250001,7.119048166667837,1.9885549973333303,0.03632160167642155,"[19, 0, 19, 0, 10, 2, 12, 2, 20, 0, 20, 0, 20, 0, 7, 2, 7, 2, 7, 0, 4]"
